product_id;product_name;brand;package_quantity;package_unit;product_category;from_date;to_date;percentage_of_discount
P001;lapte zuzu;Zuzu;1;l;lactate;2025-05-08;2025-05-14;9
P006;oua marimea M;Ferma Veche;10;buc;oua;2025-05-08;2025-05-14;11
P012;paine alba;K-Classic;500;g;panificatie;2025-05-09;2025-05-15;7
P022;zahar tos;Margaritar;1;kg;alimente de baza;2025-05-10;2025-05-16;6
P029;ulei floarea-soarelui;Floriol;1;l;alimente de baza;2025-05-08;2025-05-14;8
P032;biscuiti cu unt;Milka;0.2;kg;gustari;2025-05-09;2025-05-15;12
P035;cafea macinata;Jacobs;0.25;kg;cafea;2025-05-10;2025-05-16;11
P044;hartie igienica 3 straturi;Pufina;10;role;produse de menaj;2025-05-08;2025-05-14;13
P047;piper negru macinat;Fuchs;50;g;condimente;2025-05-09;2025-05-15;10
P058;ceapa galbena;Generic;1;kg;legume si fructe;2025-05-10;2025-05-16;5
P061;suc portocale;Santorini;1;l;bauturi;2025-05-08;2025-05-14;9
P063;cascaval;K-Classic;0.25;kg;lactate;2025-05-09;2025-05-15;12
